segment_id,label,status,heading,start_ref,end_ref,chapter_index,block_index,notes
000,Incipit,ready_for_review,Incipit,NHAM02.32:lb1,NHAM02.32:lb3,000,,
001,Saying 1,ready_for_review,Saying 1,NHAM02.32:lb3,NHAM02.32:lb5,001,,
002,Saying 2,ready_for_review,Saying 2,NHAM02.32:lb5,NHAM02.32:lb10,002,,
003,Saying 3,ready_for_review,Saying 3,NHAM02.32:lb10,NHAM02.33:lb5,003,,
004,Saying 4,ready_for_review,Saying 4,NHAM02.33:lb5,NHAM02.33:lb10,004,,
005,Saying 5,ready_for_review,Saying 5,NHAM02.33:lb10,NHAM02.33:lb14,005,,
006,Saying 6,ready_for_review,Saying 6,NHAM02.33:lb14,NHAM02.33:lb23,006,,
007,Saying 7,ready_for_review,Saying 7,NHAM02.33:lb23,NHAM02.33:lb28,007,,
008,Saying 8,ready_for_review,Saying 8,NHAM02.33:lb28,NHAM02.34:lb3,008,,
009,Saying 9,ready_for_review,Saying 9,NHAM02.34:lb3,NHAM02.34:lb13,009,,
010,Saying 10,ready_for_review,Saying 10,NHAM02.34:lb14,NHAM02.34:lb16,010,,
011,Saying 11,ready_for_review,Saying 11,NHAM02.34:lb16,NHAM02.34:lb25,011,,
012,Saying 12,ready_for_review,Saying 12,NHAM02.34:lb25,NHAM02.34:lb30,012,,
013,Saying 13,ready_for_review,Saying 13,NHAM02.34:lb30,NHAM02.35:lb14,013,,
014,Saying 14,ready_for_review,Saying 14,NHAM02.35:lb14,NHAM02.35:lb27,014,,
015,Saying 15,ready_for_review,Saying 15,NHAM02.35:lb27,NHAM02.35:lb31,015,,
016,Saying 16,ready_for_review,Saying 16,NHAM02.35:lb31,NHAM02.36:lb5,016,,
017,Saying 17,ready_for_review,Saying 17,NHAM02.36:lb5,NHAM02.36:lb9,017,,
018,Saying 18,ready_for_review,Saying 18,NHAM02.36:lb9,NHAM02.36:lb17,018,,
019,Saying 19,ready_for_review,Saying 19,NHAM02.36:lb17,NHAM02.36:lb25,019,,
020,Saying 20,ready_for_review,Saying 20,NHAM02.36:lb26,NHAM02.36:lb33,020,,
021,Saying 21,ready_for_review,Saying 21,NHAM02.36:lb33,NHAM02.37:lb19,021,,
022,Saying 22,ready_for_review,Saying 22,NHAM02.37:lb20,NHAM02.37:lb35,022,,
023,Saying 23,ready_for_review,Saying 23,NHAM02.38:lb1,NHAM02.38:lb3,023,,
024,Saying 24,ready_for_review,Saying 24,NHAM02.38:lb3,NHAM02.38:lb10,024,,
025,Saying 25,ready_for_review,Saying 25,NHAM02.38:lb10,NHAM02.38:lb12,025,,
026,Saying 26,ready_for_review,Saying 26,NHAM02.38:lb12,NHAM02.38:lb17,026,,
027,Saying 27,ready_for_review,Saying 27,NHAM02.38:lb17,NHAM02.38:lb20,027,,
028,Saying 28,ready_for_review,Saying 28,NHAM02.38:lb20,NHAM02.38:lb31,028,,
029,Saying 29,ready_for_review,Saying 29,NHAM02.38:lb31,NHAM02.39:lb2,029,,
030,Saying 30,ready_for_review,Saying 30,NHAM02.39:lb2,NHAM02.39:lb5,030,,
031,Saying 31,ready_for_review,Saying 31,NHAM02.39:lb5,NHAM02.39:lb7,031,,
032,Saying 32,ready_for_review,Saying 32,NHAM02.39:lb7,NHAM02.39:lb10,032,,
033,Saying 33,ready_for_review,Saying 33,NHAM02.39:lb10,NHAM02.39:lb18,033,,
034,Saying 34,ready_for_review,Saying 34,NHAM02.39:lb18,NHAM02.39:lb20,034,,
035,Saying 35,ready_for_review,Saying 35,NHAM02.39:lb20,NHAM02.39:lb24,035,,
036,Saying 36,ready_for_review,Saying 36,NHAM02.39:lb24,NHAM02.39:lb27,036,,
037,Saying 37,ready_for_review,Saying 37,NHAM02.39:lb27,NHAM02.40:lb2,037,,
038,Saying 38,ready_for_review,Saying 38,NHAM02.40:lb2,NHAM02.40:lb7,038,,
039,Saying 39,ready_for_review,Saying 39,NHAM02.40:lb7,NHAM02.40:lb13,039,,
040,Saying 40,ready_for_review,Saying 40,NHAM02.40:lb13,NHAM02.40:lb16,040,,
041,Saying 41,ready_for_review,Saying 41,NHAM02.40:lb16,NHAM02.40:lb18,041,,
042,Saying 42,ready_for_review,Saying 42,NHAM02.40:lb19,NHAM02.40:lb19,042,,
043,Saying 43,ready_for_review,Saying 43,NHAM02.40:lb20,NHAM02.40:lb26,043,,
044,Saying 44,ready_for_review,Saying 44,NHAM02.40:lb26,NHAM02.40:lb31,044,,
045,Saying 45,ready_for_review,Saying 45,NHAM02.40:lb31,NHAM02.41:lb6,045,,
046,Saying 46,ready_for_review,Saying 46,NHAM02.41:lb6,NHAM02.41:lb12,046,,
047,Saying 47,ready_for_review,Saying 47,NHAM02.41:lb12,NHAM02.41:lb23,047,,
048,Saying 48,ready_for_review,Saying 48,NHAM02.41:lb24,NHAM02.41:lb27,048,,
049,Saying 49,ready_for_review,Saying 49,NHAM02.41:lb27,NHAM02.41:lb30,049,,
050,Saying 50,ready_for_review,Saying 50,NHAM02.41:lb30,NHAM02.42:lb7,050,,
051,Saying 51,ready_for_review,Saying 51,NHAM02.42:lb7,NHAM02.42:lb12,051,,
052,Saying 52,ready_for_review,Saying 52,NHAM02.42:lb12,NHAM02.42:lb18,052,,
053,Saying 53,ready_for_review,Saying 53,NHAM02.42:lb18,NHAM02.42:lb23,053,,
054,Saying 54,ready_for_review,Saying 54,NHAM02.42:lb23,NHAM02.42:lb24,054,,
055,Saying 55,ready_for_review,Saying 55,NHAM02.42:lb25,NHAM02.42:lb29,055,,
056,Saying 56,ready_for_review,Saying 56,NHAM02.42:lb29,NHAM02.42:lb32,056,,
057,Saying 57,ready_for_review,Saying 57,NHAM02.42:lb32,NHAM02.43:lb7,057,,
058,Saying 58,ready_for_review,Saying 58,NHAM02.43:lb7,NHAM02.43:lb9,058,,
059,Saying 59,ready_for_review,Saying 59,NHAM02.43:lb9,NHAM02.43:lb12,059,,
060,Saying 60,ready_for_review,Saying 60,NHAM02.43:lb12,NHAM02.43:lb23,060,,
061,Saying 61,ready_for_review,Saying 61,NHAM02.43:lb23,NHAM02.43:lb34,061,,
062,Saying 62,ready_for_review,Saying 62,NHAM02.43:lb34,NHAM02.44:lb2,062,,
063,Saying 63,ready_for_review,Saying 63,NHAM02.44:lb2,NHAM02.44:lb10,063,,
064,Saying 64,ready_for_review,Saying 64,NHAM02.44:lb10,NHAM02.44:lb35,064,,
065,Saying 65,ready_for_review,Saying 65,NHAM02.45:lb1,NHAM02.45:lb16,065,,
066,Saying 66,ready_for_review,Saying 66,NHAM02.45:lb16,NHAM02.45:lb19,066,,
067,Saying 67,ready_for_review,Saying 67,NHAM02.45:lb19,NHAM02.45:lb20,067,,
068,Saying 68,ready_for_review,Saying 68,NHAM02.45:lb21,NHAM02.45:lb24,068,,
069,Saying 69,ready_for_review,Saying 69,NHAM02.45:lb24,NHAM02.45:lb29,069,,
070,Saying 70,ready_for_review,Saying 70,NHAM02.45:lb29,NHAM02.45:lb33,070,,
071,Saying 71,ready_for_review,Saying 71,NHAM02.45:lb34,NHAM02.45:lb35,071,,
072,Saying 72,ready_for_review,Saying 72,NHAM02.46:lb1,NHAM02.46:lb6,072,,
073,Saying 73,ready_for_review,Saying 73,NHAM02.46:lb6,NHAM02.46:lb9,073,,
074,Saying 74,ready_for_review,Saying 74,NHAM02.46:lb9,NHAM02.46:lb11,074,,
075,Saying 75,ready_for_review,Saying 75,NHAM02.46:lb11,NHAM02.46:lb13,075,,
076,Saying 76,ready_for_review,Saying 76,NHAM02.46:lb13,NHAM02.46:lb22,076,,
077,Saying 77,ready_for_review,Saying 77,NHAM02.46:lb22,NHAM02.46:lb28,077,,
078,Saying 78,ready_for_review,Saying 78,NHAM02.46:lb28,NHAM02.47:lb3,078,,
079,Saying 79,ready_for_review,Saying 79,NHAM02.47:lb3,NHAM02.47:lb12,079,,
080,Saying 80,ready_for_review,Saying 80,NHAM02.47:lb12,NHAM02.47:lb15,080,,
081,Saying 81,ready_for_review,Saying 81,NHAM02.47:lb15,NHAM02.47:lb17,081,,
082,Saying 82,ready_for_review,Saying 82,NHAM02.47:lb17,NHAM02.47:lb19,082,,
083,Saying 83,ready_for_review,Saying 83,NHAM02.47:lb19,NHAM02.47:lb24,083,,
084,Saying 84,ready_for_review,Saying 84,NHAM02.47:lb24,NHAM02.47:lb29,084,,
085,Saying 85,ready_for_review,Saying 85,NHAM02.47:lb29,NHAM02.47:lb34,085,,
086,Saying 86,ready_for_review,Saying 86,NHAM02.47:lb34,NHAM02.48:lb4,086,,
087,Saying 87,ready_for_review,Saying 87,NHAM02.48:lb4,NHAM02.48:lb7,087,,
088,Saying 88,ready_for_review,Saying 88,NHAM02.48:lb7,NHAM02.48:lb12,088,,
089,Saying 89,ready_for_review,Saying 89,NHAM02.48:lb13,NHAM02.48:lb16,089,,
090,Saying 90,ready_for_review,Saying 90,NHAM02.48:lb16,NHAM02.48:lb20,090,,
091,Saying 91,ready_for_review,Saying 91,NHAM02.48:lb20,NHAM02.48:lb25,091,,
092,Saying 92,ready_for_review,Saying 92,NHAM02.48:lb25,NHAM02.48:lb30,092,,
093,Saying 93,ready_for_review,Saying 93,NHAM02.48:lb30,NHAM02.48:lb33,093,,
094,Saying 94,ready_for_review,Saying 94,NHAM02.48:lb33,NHAM02.48:lb34,094,,
095,Saying 95,ready_for_review,Saying 95,NHAM02.48:lb35,NHAM02.49:lb2,095,,
096,Saying 96,ready_for_review,Saying 96,NHAM02.49:lb2,NHAM02.49:lb6,096,,
097,Saying 97,ready_for_review,Saying 97,NHAM02.49:lb7,NHAM02.49:lb15,097,,
098,Saying 98,ready_for_review,Saying 98,NHAM02.49:lb15,NHAM02.49:lb20,098,,
099,Saying 99,ready_for_review,Saying 99,NHAM02.49:lb21,NHAM02.49:lb26,099,,
100,Saying 100,ready_for_review,Saying 100,NHAM02.49:lb27,NHAM02.49:lb31,100,,
101,Saying 101,ready_for_review,Saying 101,NHAM02.49:lb32,NHAM02.50:lb1,101,,
102,Saying 102,ready_for_review,Saying 102,NHAM02.50:lb2,NHAM02.50:lb5,102,,
103,Saying 103,ready_for_review,Saying 103,NHAM02.50:lb5,NHAM02.50:lb10,103,,
104,Saying 104,ready_for_review,Saying 104,NHAM02.50:lb10,NHAM02.50:lb16,104,,
105,Saying 105,ready_for_review,Saying 105,NHAM02.50:lb16,NHAM02.50:lb18,105,,
106,Saying 106,ready_for_review,Saying 106,NHAM02.50:lb18,NHAM02.50:lb22,106,,
107,Saying 107,ready_for_review,Saying 107,NHAM02.50:lb22,NHAM02.50:lb27,107,,
108,Saying 108,ready_for_review,Saying 108,NHAM02.50:lb28,NHAM02.50:lb30,108,,
109,Saying 109,ready_for_review,Saying 109,NHAM02.50:lb31,NHAM02.51:lb3,109,,
110,Saying 110,ready_for_review,Saying 110,NHAM02.51:lb4,NHAM02.51:lb5,110,,
111,Saying 111,ready_for_review,Saying 111,NHAM02.51:lb6,NHAM02.51:lb10,111,,
112,Saying 112,ready_for_review,Saying 112,NHAM02.51:lb10,NHAM02.51:lb12,112,,
113,Saying 113,ready_for_review,Saying 113,NHAM02.51:lb12,NHAM02.51:lb18,113,,
114,Saying 114,ready_for_review,Saying 114,NHAM02.51:lb18,NHAM02.51:lb26,114,,
subtitle,Subtitle,ready_for_review,Subtitle,NHAM02.51:lb27,NHAM02.51:lb28,,,
